location_id,location_name,address,city,state,zip_code,region,phone,manager,open_date,is_active,square_footage,employee_count
LOC-0019,Lincare CO_City_1 #4,2266 Main St,CO_City_1,CO,36522,Southwest,(735) 716-7877,David Martin,2004-04-26,True,6536,43
LOC-0020,Lincare AR_City_3 #1,1626 Elm Ave,AR_City_3,AR,89098,West,(752) 201-8069,Lisa Wilson,2016-08-12,True,7215,38
LOC-0021,Lincare NJ_City_1 #4,6346 Pine Rd,NJ_City_1,NJ,85513,Pacific,(300) 635-3193,Sarah Thomas,2010-06-06,True,2186,23
LOC-0022,Lincare SD_City_3 #3,3196 Main St,SD_City_3,SD,85757,Southwest,(735) 320-9515,James Gonzalez,2009-03-19,True,4087,31
LOC-0023,Lincare MT_City_1 #4,9690 Pine Blvd,MT_City_1,MT,80268,Southeast,(633) 778-6990,Sarah Gonzalez,2009-02-19,True,7920,40
LOC-0024,Lincare Raleigh #5,9191 Elm Blvd,Raleigh,NC,50193,Midwest,(791) 552-7522,David Brown,2010-04-22,True,7228,15
LOC-0025,Lincare DE_City_1 #4,5644 Health Rd,DE_City_1,DE,90481,West,(913) 900-1852,Richard Gonzalez,2000-03-27,True,2690,35
LOC-0026,Lincare SD_City_2 #1,4410 Oak Blvd,SD_City_2,SD,20490,Northeast,(823) 238-7296,Maria Martin,2012-11-06,True,6394,8
LOC-0027,Lincare IN_City_3 #4,275 Oak Rd,IN_City_3,IN,47487,Southwest,(399) 234-9364,Lisa Davis,2007-08-08,True,4446,20
LOC-0028,Lincare UT_City_1 #1,4620 Health Dr,UT_City_1,UT,56285,Southeast,(885) 604-7642,Joseph Taylor,2000-09-08,True,2062,10
LOC-0029,Lincare Allentown #5,9650 Pine Blvd,Allentown,PA,46242,Mid-Atlantic,(431) 820-4187,Karen Gonzalez,2000-03-17,True,4835,37
LOC-0030,Lincare DE_City_3 #5,4921 Pine St,DE_City_3,DE,77277,Northeast,(463) 750-5098,Karen Gonzalez,2021-09-10,True,7705,26
LOC-0031,Lincare Yonkers #5,548 Elm St,Yonkers,NY,43792,Southwest,(269) 591-4610,Thomas Hernandez,2018-07-02,False,5731,39
LOC-0032,Lincare AL_City_3 #3,4167 Pine St,AL_City_3,AL,62288,Pacific,(889) 966-6603,Michael Moore,2008-01-03,True,4396,18
LOC-0033,Lincare RI_City_2 #2,8275 Market Ave,RI_City_2,RI,40783,Southeast,(953) 447-5348,Joseph Davis,2009-02-04,True,6567,27
LOC-0034,Lincare ID_City_1 #1,8171 Cedar St,ID_City_1,ID,80972,Northeast,(243) 693-7081,Linda Thomas,2012-04-28,True,7760,37
LOC-0035,Lincare MD_City_2 #5,2201 Main Rd,MD_City_2,MD,65466,Southeast,(689) 753-1533,Lisa Lopez,2017-08-29,True,7856,16
LOC-0036,Lincare New York #5,7637 Pine St,New York,NY,11549,Mid-Atlantic,(890) 415-7216,William Hernandez,2016-03-21,True,3627,16
LOC-0037,Lincare Allentown #3,7822 Cedar Blvd,Allentown,PA,57962,Southeast,(388) 710-7945,Joseph Wilson,2016-09-12,True,4781,22
LOC-0038,Lincare NM_City_1 #2,9535 Market Ave,NM_City_1,NM,23090,West,(938) 476-4863,Margaret Wilson,2017-01-31,True,7550,14
LOC-0039,Lincare Charlotte #4,8285 Oak Rd,Charlotte,NC,79990,Southeast,(937) 523-8972,Jennifer Rodriguez,2002-02-20,True,7156,15
LOC-0040,Lincare San Diego #3,7907 Health St,San Diego,CA,68963,Pacific,(962) 542-5256,Elizabeth Lopez,2011-07-24,True,4873,12
LOC-0041,Lincare MO_City_3 #2,9551 Cedar Rd,MO_City_3,MO,32877,West,(999) 491-6818,Linda Taylor,2021-11-13,True,5161,10
LOC-0042,Lincare NE_City_3 #4,2473 Health Ave,NE_City_3,NE,93962,Midwest,(545) 631-7631,Michael Williams,2007-04-08,True,4068,25
LOC-0043,Lincare UT_City_2 #3,6579 Pine Dr,UT_City_2,UT,57600,Mid-Atlantic,(965) 801-9535,Karen Wilson,2007-07-04,True,1689,13
LOC-0044,Lincare WI_City_1 #3,1411 Oak Ave,WI_City_1,WI,62041,Mid-Atlantic,(305) 297-2045,Nancy Moore,2002-05-31,True,4752,38
LOC-0045,Lincare CT_City_1 #5,2644 Main Dr,CT_City_1,CT,50549,Midwest,(434) 453-5655,Karen Jones,2005-11-20,True,2897,6
LOC-0046,Lincare AR_City_3 #3,7901 Elm Rd,AR_City_3,AR,45705,Midwest,(761) 655-3213,Margaret Garcia,2020-06-24,True,6708,41
LOC-0047,Lincare NJ_City_3 #5,5173 Pine Dr,NJ_City_3,NJ,80735,Mid-Atlantic,(432) 291-8239,Jennifer Lopez,2018-06-28,True,3986,5
LOC-0048,Lincare AL_City_3 #2,5734 Pine Dr,AL_City_3,AL,80136,Pacific,(208) 904-9059,Nancy Martinez,2000-05-29,True,3899,43
LOC-0049,Lincare KY_City_1 #3,3189 Elm Rd,KY_City_1,KY,67292,West,(604) 455-3675,Maria Gonzalez,2009-11-23,True,4958,45
LOC-0050,Lincare LA_City_3 #5,4554 Pine Rd,LA_City_3,LA,45235,Pacific,(622) 392-2121,Richard Jones,2012-12-27,True,5230,44
LOC-0051,Lincare NM_City_2 #5,8160 Oak Blvd,NM_City_2,NM,12542,Mid-Atlantic,(355) 250-9764,James Garcia,2004-08-02,True,2524,33
LOC-0052,Lincare WI_City_1 #1,2568 Main Dr,WI_City_1,WI,38467,Southeast,(550) 630-6104,Nancy Lopez,2020-10-19,True,1759,26
LOC-0053,Lincare CT_City_1 #3,6529 Main Rd,CT_City_1,CT,71623,Northeast,(385) 396-5097,Maria Smith,2005-06-21,False,7354,20
LOC-0054,Lincare NE_City_2 #1,3363 Elm St,NE_City_2,NE,78306,Southeast,(881) 413-8746,Maria Martinez,2014-06-29,True,7465,7
LOC-0055,Lincare WY_City_3 #1,4250 Elm Blvd,WY_City_3,WY,36047,West,(569) 253-4568,William Davis,2019-06-23,True,2871,22
LOC-0056,Lincare SC_City_1 #2,246 Main Rd,SC_City_1,SC,72294,Southwest,(904) 810-3539,Elizabeth Williams,2011-02-27,True,2248,44
LOC-0057,Lincare MS_City_3 #1,5924 Market Ave,MS_City_3,MS,80300,Northeast,(309) 328-8992,Thomas Hernandez,2015-07-31,True,5093,17
LOC-0058,Lincare AZ_City_3 #3,2307 Pine St,AZ_City_3,AZ,73609,Southwest,(923) 648-5828,Margaret Thomas,2008-07-06,True,5953,27
LOC-0059,Lincare MN_City_3 #3,9908 Health Rd,MN_City_3,MN,31016,Southwest,(270) 743-3539,Karen Martinez,2011-10-24,True,5219,5
LOC-0060,Lincare Fort Worth #2,406 Cedar Blvd,Fort Worth,TX,91290,Southwest,(444) 528-2037,Margaret Gonzalez,2008-07-07,True,5575,40
LOC-0061,Lincare ID_City_3 #3,6814 Market Blvd,ID_City_3,ID,24478,Midwest,(298) 735-2092,Robert Jones,2008-01-05,True,3155,11
LOC-0062,Lincare ND_City_1 #1,9455 Market Dr,ND_City_1,ND,96235,Northeast,(701) 738-5193,Robert Lopez,2009-11-25,True,2080,5
LOC-0063,Lincare KS_City_3 #1,7768 Health St,KS_City_3,KS,57307,Southwest,(771) 961-7814,Elizabeth Johnson,2011-12-04,True,7515,9
LOC-0064,Lincare Detroit #5,1691 Main Ave,Detroit,MI,79685,Southeast,(594) 394-4164,Lisa Davis,2008-01-10,True,6072,31
LOC-0065,Lincare WY_City_1 #5,5964 Market Dr,WY_City_1,WY,97194,Pacific,(637) 306-3733,Richard Moore,2018-01-05,True,6886,15
LOC-0066,Lincare OR_City_3 #3,5263 Cedar Blvd,OR_City_3,OR,58722,Southwest,(622) 982-8054,Linda Martin,2010-10-18,True,3252,29
LOC-0067,Lincare Scranton #3,7512 Elm Dr,Scranton,PA,10025,Midwest,(943) 235-5660,James Taylor,2006-01-22,False,3972,5
LOC-0068,Lincare Grand Rapids #3,455 Health Blvd,Grand Rapids,MI,82569,Southeast,(723) 769-3534,William Johnson,2020-08-25,True,2633,21
LOC-0069,Lincare MT_City_3 #2,4298 Health Blvd,MT_City_3,MT,22046,Southeast,(784) 609-4562,Michael Hernandez,2021-08-23,True,7149,41
LOC-0070,Lincare DE_City_3 #3,712 Market Rd,DE_City_3,DE,60010,Mid-Atlantic,(280) 998-1916,Linda Lopez,2019-06-25,True,2487,19
LOC-0071,Lincare WY_City_3 #5,287 Market Dr,WY_City_3,WY,17094,Pacific,(512) 736-1674,Linda Moore,2006-09-16,True,7216,19
LOC-0072,Lincare ID_City_1 #4,7400 Health Rd,ID_City_1,ID,85399,Mid-Atlantic,(716) 292-4638,Susan Martinez,2017-09-08,True,4253,10
LOC-0073,Lincare Winston-Salem #1,9080 Elm Blvd,Winston-Salem,NC,21151,Mid-Atlantic,(608) 713-8118,David Jones,2021-07-28,True,5496,30
LOC-0074,Lincare UT_City_3 #5,8689 Oak Ave,UT_City_3,UT,19390,Southeast,(472) 995-8046,Linda Jackson,2004-01-07,True,4888,32
LOC-0075,Lincare MT_City_2 #3,5744 Cedar St,MT_City_2,MT,49953,Southeast,(373) 558-8245,David Anderson,2002-01-05,True,3412,17
LOC-0076,Lincare VA_City_2 #1,1941 Market St,VA_City_2,VA,41856,Southeast,(835) 351-5713,James Hernandez,2004-12-28,True,5359,6
LOC-0077,Lincare MS_City_1 #5,3571 Oak Rd,MS_City_1,MS,78585,Mid-Atlantic,(968) 464-9991,Nancy Martin,2006-05-04,True,6974,6
LOC-0078,Lincare NE_City_3 #5,812 Pine Ave,NE_City_3,NE,17878,Mid-Atlantic,(490) 405-5444,Robert Anderson,2000-05-16,True,6909,22
LOC-0079,Lincare VT_City_3 #1,412 Pine Dr,VT_City_3,VT,40299,Midwest,(589) 720-2631,Linda Thomas,2003-12-13,True,5601,34
LOC-0080,Lincare Scranton #1,4153 Cedar Blvd,Scranton,PA,53721,Northeast,(701) 602-3572,James Lopez,2015-10-14,True,3976,20
LOC-0081,Lincare Cincinnati #1,4321 Elm St,Cincinnati,OH,82737,Pacific,(486) 430-3485,Linda Gonzalez,2006-02-26,True,4631,38
LOC-0082,Lincare VA_City_3 #2,6937 Oak Rd,VA_City_3,VA,30021,Pacific,(636) 519-6395,Karen Moore,2005-11-28,True,2635,42
LOC-0083,Lincare OR_City_3 #2,2362 Pine Rd,OR_City_3,OR,27727,Pacific,(640) 988-3378,Richard Hernandez,2003-01-16,True,7393,12
LOC-0084,Lincare IN_City_2 #2,583 Health Blvd,IN_City_2,IN,64269,Pacific,(621) 510-8258,Sarah Jones,2008-06-06,True,3013,6
LOC-0085,Lincare TN_City_3 #5,9390 Cedar Ave,TN_City_3,TN,88166,Midwest,(437) 436-1427,Elizabeth Williams,2021-05-18,True,6453,35
LOC-0086,Lincare WV_City_3 #2,6448 Elm Dr,WV_City_3,WV,28024,Midwest,(367) 397-4707,Robert Wilson,2000-09-02,True,4883,19
LOC-0087,Lincare WY_City_3 #2,1183 Oak Dr,WY_City_3,WY,90879,Southeast,(701) 904-6323,Karen Davis,2019-03-07,True,1842,43
LOC-0088,Lincare WY_City_2 #3,6557 Cedar Rd,WY_City_2,WY,87831,Mid-Atlantic,(749) 737-1630,Lisa Brown,2020-04-04,True,1847,20
LOC-0089,Lincare OK_City_3 #1,9237 Elm Rd,OK_City_3,OK,92660,Southwest,(250) 394-5770,Karen Gonzalez,2013-08-29,True,3842,34
LOC-0090,Lincare Rockford #5,993 Market Rd,Rockford,IL,28643,Midwest,(674) 861-8400,Michael Taylor,2005-01-28,True,6295,39
LOC-0091,Lincare Columbus #3,7487 Main Ave,Columbus,GA,69464,Southwest,(804) 929-4308,Karen Williams,2011-03-21,True,6813,15
LOC-0092,Lincare WV_City_3 #1,1970 Market Dr,WV_City_3,WV,93109,Northeast,(571) 287-9582,Maria Taylor,2007-03-04,True,4617,7
LOC-0093,Lincare Naperville #2,2756 Health Ave,Naperville,IL,33444,West,(987) 929-1840,Susan Martinez,2013-11-19,True,5155,23
LOC-0094,Lincare Dallas #2,3423 Main Rd,Dallas,TX,43175,Northeast,(212) 669-9153,Nancy Moore,2000-04-04,True,5542,20
LOC-0095,Lincare KS_City_3 #4,7534 Elm Dr,KS_City_3,KS,20407,Mid-Atlantic,(815) 814-1107,Thomas Moore,2012-06-22,True,6067,18
LOC-0096,Lincare San Diego #1,5818 Main Ave,San Diego,CA,14250,Southeast,(883) 791-5889,Linda Williams,2002-03-14,True,2960,15
LOC-0097,Lincare VA_City_2 #5,9476 Health Rd,VA_City_2,VA,33254,West,(666) 967-6901,Robert Williams,2013-06-04,True,4604,9
LOC-0098,Lincare NJ_City_3 #3,7813 Oak St,NJ_City_3,NJ,45968,Northeast,(537) 739-7779,Lisa Miller,2009-05-18,True,2395,41
LOC-0099,Lincare WI_City_3 #1,8024 Market Rd,WI_City_3,WI,47642,West,(637) 823-6185,Sarah Taylor,2015-11-15,True,6532,41
LOC-0100,Lincare ND_City_3 #4,8169 Health Ave,ND_City_3,ND,89876,Mid-Atlantic,(438) 925-5759,Joseph Smith,2005-04-20,True,6623,12
LOC-0101,Lincare WY_City_1 #5,6893 Elm St,WY_City_1,WY,53750,Pacific,(558) 773-4478,James Miller,2012-08-19,True,2055,24
LOC-0102,Lincare Lansing #3,200 Main Blvd,Lansing,MI,54742,West,(605) 941-1477,Richard Miller,2014-10-29,True,7008,35
LOC-0103,Lincare Charlotte #2,7988 Oak Dr,Charlotte,NC,80381,Mid-Atlantic,(543) 673-7782,Robert Taylor,2013-06-05,True,7055,25
LOC-0104,Lincare Reading #2,9560 Market Blvd,Reading,PA,56346,Northeast,(267) 352-5595,James Hernandez,2016-10-30,True,2859,41
LOC-0105,Lincare SD_City_2 #5,2014 Health Blvd,SD_City_2,SD,51222,Southeast,(926) 232-5448,Susan Williams,2022-04-18,True,4544,33
LOC-0106,Lincare Grand Rapids #3,2967 Main Blvd,Grand Rapids,MI,14901,West,(996) 406-2517,Karen Taylor,2001-02-12,True,5596,14
LOC-0107,Lincare IA_City_2 #5,5184 Health Blvd,IA_City_2,IA,28781,Southwest,(987) 300-9456,David Miller,2001-08-21,True,7346,38
LOC-0108,Lincare Tampa #1,9836 Health St,Tampa,FL,53684,Midwest,(678) 247-2689,Lisa Martinez,2001-01-03,True,4057,45
LOC-0109,Lincare KS_City_2 #2,4795 Pine Rd,KS_City_2,KS,51831,Southeast,(991) 651-2927,Sarah Jones,2007-01-24,True,1624,44
LOC-0110,Lincare Reading #2,8988 Pine Rd,Reading,PA,51744,Northeast,(477) 344-5641,Thomas Garcia,2003-03-13,True,4274,39
LOC-0111,Lincare NM_City_1 #1,7812 Market St,NM_City_1,NM,23884,Southeast,(592) 255-2410,Susan Gonzalez,2008-01-11,True,6355,45
LOC-0112,Lincare WA_City_3 #5,5926 Pine Blvd,WA_City_3,WA,35971,Southwest,(930) 976-9740,Michael Anderson,2005-11-29,True,7222,34
LOC-0113,Lincare DE_City_2 #4,7809 Oak Ave,DE_City_2,DE,28837,Midwest,(831) 464-6954,Maria Garcia,2014-10-26,True,4160,34
LOC-0114,Lincare ND_City_1 #4,1949 Pine Dr,ND_City_1,ND,70455,Northeast,(374) 489-6711,David Taylor,2004-08-13,True,7351,11
LOC-0115,Lincare MN_City_3 #1,5049 Cedar Dr,MN_City_3,MN,62535,Mid-Atlantic,(804) 623-4908,Thomas Moore,2007-02-18,False,4644,9
LOC-0116,Lincare MS_City_1 #5,7163 Health Dr,MS_City_1,MS,84345,Pacific,(550) 757-4869,Richard Williams,2021-10-29,True,6383,34
LOC-0117,Lincare MN_City_3 #4,2986 Pine Dr,MN_City_3,MN,19123,Northeast,(812) 311-7208,Linda Thomas,2002-10-04,True,2638,42
LOC-0118,Lincare Plano #2,2544 Elm Rd,Plano,TX,48207,Northeast,(599) 830-8326,Joseph Miller,2014-03-15,True,7066,24
LOC-0119,Lincare NJ_City_3 #1,9647 Main Rd,NJ_City_3,NJ,76902,Midwest,(613) 330-5819,Robert Lopez,2002-05-20,True,6087,27
LOC-0120,Lincare Sarasota #1,3954 Elm Rd,Sarasota,FL,61677,Midwest,(840) 525-7271,Maria Gonzalez,2019-07-10,True,6927,16
LOC-0121,Lincare Raleigh #5,6401 Health Blvd,Raleigh,NC,64687,Southeast,(357) 495-3056,David Smith,2003-03-21,True,2679,36
LOC-0122,Lincare VT_City_2 #1,2348 Market Dr,VT_City_2,VT,69772,Southeast,(912) 818-7974,Richard Anderson,2022-11-07,True,5186,29
LOC-0123,Lincare MO_City_1 #4,221 Cedar Dr,MO_City_1,MO,41031,Southeast,(929) 713-5411,Susan Moore,2016-06-17,True,1810,41
LOC-0124,Lincare Fayetteville #1,9607 Elm St,Fayetteville,NC,28623,Midwest,(947) 948-9624,Sarah Anderson,2003-07-05,True,6497,10
LOC-0125,Lincare LA_City_2 #1,8934 Health Rd,LA_City_2,LA,50959,Mid-Atlantic,(827) 254-6628,Margaret Smith,2021-01-11,True,5343,41
LOC-0126,Lincare WI_City_2 #3,4927 Pine Ave,WI_City_2,WI,14630,Southwest,(911) 811-5981,Sarah Johnson,2021-03-23,True,6192,8
LOC-0127,Lincare VT_City_2 #5,547 Pine Dr,VT_City_2,VT,20814,Pacific,(329) 717-2259,Sarah Rodriguez,2005-12-11,True,3754,21
LOC-0128,Lincare AL_City_3 #5,2960 Cedar Ave,AL_City_3,AL,96396,Northeast,(657) 578-3873,Sarah Davis,2021-10-01,True,5820,7
LOC-0129,Lincare MS_City_1 #5,2625 Health Dr,MS_City_1,MS,64125,Southeast,(988) 592-4898,Karen Garcia,2009-06-16,True,4326,8
LOC-0130,Lincare UT_City_2 #1,960 Oak Dr,UT_City_2,UT,62264,Pacific,(687) 508-8803,Margaret Davis,2017-01-13,True,4695,35
LOC-0131,Lincare ME_City_1 #4,294 Pine Dr,ME_City_1,ME,60070,West,(894) 523-9687,Robert Brown,2015-11-15,False,5037,44
LOC-0132,Lincare UT_City_2 #3,4475 Health St,UT_City_2,UT,43468,Midwest,(870) 798-7408,Karen Davis,2008-09-28,True,7051,16
LOC-0133,Lincare MN_City_3 #1,1213 Main Dr,MN_City_3,MN,22805,Northeast,(737) 306-8306,Elizabeth Davis,2012-09-15,True,1778,6
LOC-0134,Lincare TN_City_1 #5,3652 Cedar St,TN_City_1,TN,25725,Northeast,(288) 819-3128,Maria Jackson,2008-04-15,True,7198,16
LOC-0135,Lincare ME_City_2 #1,7529 Pine Dr,ME_City_2,ME,97500,Southwest,(988) 988-6298,Sarah Garcia,2003-04-27,True,2011,29
LOC-0136,Lincare NE_City_2 #3,4436 Oak Dr,NE_City_2,NE,19096,Northeast,(703) 405-7432,Richard Thomas,2004-11-11,True,7797,32
LOC-0137,Lincare KS_City_3 #1,7334 Market Blvd,KS_City_3,KS,23538,Mid-Atlantic,(235) 274-2153,Sarah Anderson,2000-11-03,True,2719,45
LOC-0138,Lincare AL_City_1 #4,4465 Oak Blvd,AL_City_1,AL,61292,Mid-Atlantic,(788) 203-9444,Nancy Thomas,2019-07-24,True,7461,9
LOC-0139,Lincare OR_City_1 #4,7998 Main Rd,OR_City_1,OR,80163,Northeast,(567) 541-5961,Maria Johnson,2004-01-25,True,4285,10
LOC-0140,Lincare Rochester #2,2993 Cedar St,Rochester,NY,60353,Mid-Atlantic,(876) 395-5896,Maria Brown,2016-02-12,True,6683,33
LOC-0141,Lincare WY_City_1 #1,3263 Main Rd,WY_City_1,WY,41258,Southeast,(700) 598-2032,Margaret Martinez,2022-05-31,True,5180,6
LOC-0142,Lincare AR_City_2 #3,801 Elm St,AR_City_2,AR,37745,Northeast,(869) 883-9570,Karen Moore,2006-09-06,True,3408,9
LOC-0143,Lincare AR_City_3 #4,412 Elm Rd,AR_City_3,AR,16003,Southeast,(448) 918-3138,James Garcia,2002-03-29,True,2297,34
LOC-0144,Lincare TN_City_1 #5,1147 Health St,TN_City_1,TN,24965,Pacific,(709) 809-4613,Michael Miller,2019-02-13,True,7545,30
LOC-0145,Lincare MN_City_1 #5,9043 Oak Blvd,MN_City_1,MN,37948,Mid-Atlantic,(982) 246-3841,Linda Williams,2005-06-01,True,7705,31
LOC-0146,Lincare Springfield #5,2803 Elm Ave,Springfield,IL,86282,Midwest,(241) 336-2637,Maria Garcia,2000-09-13,True,2161,5
LOC-0147,Lincare AL_City_1 #5,4748 Elm Dr,AL_City_1,AL,26632,Northeast,(411) 346-5439,Lisa Anderson,2018-06-25,True,2929,44
LOC-0148,Lincare WA_City_1 #2,8290 Cedar St,WA_City_1,WA,92207,West,(508) 556-7861,James Moore,2010-07-27,True,5843,11
LOC-0149,Lincare TN_City_2 #5,8415 Oak Dr,TN_City_2,TN,92111,Pacific,(875) 413-5528,Robert Miller,2005-01-20,True,7113,35
LOC-0150,Lincare ND_City_1 #1,985 Market Blvd,ND_City_1,ND,47363,Southeast,(414) 645-5118,Linda Martin,2020-04-29,True,7565,8
LOC-0151,Lincare OR_City_1 #1,8047 Cedar St,OR_City_1,OR,19287,Southeast,(440) 938-8287,Linda Wilson,2008-11-30,True,4168,19
LOC-0152,Lincare Miami #1,3984 Market Dr,Miami,FL,36208,Southeast,(584) 425-2204,Nancy Jackson,2021-09-23,True,5070,14
LOC-0153,Lincare KS_City_3 #2,6446 Pine Ave,KS_City_3,KS,69996,Southwest,(937) 398-6875,Sarah Miller,2015-01-25,True,7170,41
LOC-0154,Lincare San Jose #1,7727 Elm Dr,San Jose,CA,32439,Southeast,(978) 551-4602,Jennifer Martin,2007-01-12,True,6726,44
LOC-0155,Lincare Joliet #2,1516 Elm Rd,Joliet,IL,74122,West,(421) 805-8757,Karen Rodriguez,2000-08-25,True,7530,20
LOC-0156,Lincare LA_City_2 #5,3743 Cedar Ave,LA_City_2,LA,85196,Southwest,(205) 627-1724,Robert Thomas,2022-08-14,True,5850,30
LOC-0157,Lincare Fayetteville #1,7512 Elm Ave,Fayetteville,NC,20890,Pacific,(771) 971-1203,Susan Miller,2005-12-14,True,3458,10
LOC-0158,Lincare AZ_City_2 #3,2750 Market Dr,AZ_City_2,AZ,84760,Mid-Atlantic,(965) 797-1399,Karen Anderson,2006-03-21,True,4820,16
LOC-0159,Lincare MT_City_3 #1,1258 Elm Blvd,MT_City_3,MT,79588,Southwest,(233) 503-7977,Sarah Martin,2009-04-16,True,2163,44
LOC-0160,Lincare MS_City_3 #5,6063 Main St,MS_City_3,MS,60194,Northeast,(574) 676-1669,Elizabeth Lopez,2007-11-11,True,7274,9
LOC-0161,Lincare Scranton #2,2367 Pine Ave,Scranton,PA,80730,Pacific,(316) 864-8839,Joseph Davis,2014-05-17,True,3690,37
LOC-0162,Lincare VA_City_2 #1,1138 Pine Blvd,VA_City_2,VA,69298,Midwest,(697) 713-9629,William Thomas,2013-02-09,True,4515,9
LOC-0163,Lincare IA_City_2 #1,6500 Oak Blvd,IA_City_2,IA,20085,Northeast,(311) 368-5521,William Jones,2022-04-06,True,3173,38
LOC-0164,Lincare Houston #4,8970 Oak Dr,Houston,TX,55442,Midwest,(630) 654-1351,Jennifer Miller,2002-10-28,True,3403,38
LOC-0165,Lincare UT_City_2 #5,5716 Market Blvd,UT_City_2,UT,73720,Southwest,(807) 881-9686,Margaret Anderson,2020-07-17,True,2580,24
LOC-0166,Lincare Naperville #4,6193 Pine St,Naperville,IL,29443,Southeast,(561) 491-8469,Richard Martin,2007-03-19,True,3836,16
LOC-0167,Lincare IN_City_3 #2,2741 Oak St,IN_City_3,IN,15393,Mid-Atlantic,(524) 788-3072,Karen Rodriguez,2016-07-31,True,6107,7
LOC-0168,Lincare VT_City_2 #2,6209 Elm Rd,VT_City_2,VT,31311,Midwest,(746) 508-2990,James Gonzalez,2022-05-27,True,5252,25
LOC-0169,Lincare ID_City_1 #5,8413 Pine Blvd,ID_City_1,ID,72116,Mid-Atlantic,(496) 972-3409,Karen Hernandez,2005-01-14,True,1828,13
LOC-0170,Lincare VA_City_3 #3,506 Elm Rd,VA_City_3,VA,38883,Northeast,(656) 565-2515,Linda Johnson,2008-10-02,True,3319,22
LOC-0171,Lincare IA_City_1 #5,7398 Market St,IA_City_1,IA,77081,Northeast,(603) 399-9035,Linda Martin,2022-12-12,True,6962,28
LOC-0172,Lincare NV_City_1 #4,6156 Elm Blvd,NV_City_1,NV,11597,Mid-Atlantic,(491) 553-6756,Jennifer Anderson,2003-12-06,True,5139,31
LOC-0173,Lincare NM_City_2 #4,6886 Oak Rd,NM_City_2,NM,88372,Southeast,(288) 347-4404,Jennifer Thomas,2015-01-17,True,6338,29
LOC-0174,Lincare CT_City_1 #3,6891 Oak Rd,CT_City_1,CT,70570,Southwest,(927) 781-3243,Joseph Garcia,2017-02-14,True,5518,7
LOC-0175,Lincare Lansing #4,9263 Market Dr,Lansing,MI,39428,Midwest,(227) 202-3523,Sarah Martinez,2021-03-13,True,6955,23
