cms_claim_id,reporting_quarter,state,city,zip_code,hcpcs_code,equipment_category,beneficiary_count,total_claims,total_allowed,total_paid,provider_type,home_health_share,competitor_count
CMS-0000030,Q4-2025,OH,Dayton,96236,E0465,Respiratory,16,118,574.18,7944.23,Home Health Agency,False,1
CMS-0000031,Q4-2025,VA,VA_City_2,44860,E0465,Respiratory,4,143,44929.18,27934.39,Home Health Agency,False,2
CMS-0000032,Q4-2025,AL,AL_City_2,42675,E0431,Respiratory,17,104,35195.29,41513.18,Hospital Outpatient,True,8
CMS-0000033,Q4-2025,WV,WV_City_2,38713,E0431,Respiratory,24,82,26530.16,3160.78,DME Supplier,False,3
CMS-0000034,Q4-2025,IA,IA_City_2,68473,E0431,Respiratory,11,186,8938.8,5504.2,Physician Office,False,6
CMS-0000035,Q4-2025,NC,Fayetteville,63808,E0431,Respiratory,4,96,44806.16,17214.58,Home Health Agency,False,4
CMS-0000036,Q4-2025,NE,NE_City_3,91098,E0431,Respiratory,24,138,48107.93,43899.16,Home Health Agency,False,3
CMS-0000037,Q4-2025,TX,San Antonio,95672,E0601,Sleep Therapy,35,11,4277.03,20338.93,Hospital Outpatient,True,1
CMS-0000038,Q4-2025,NY,Buffalo,91186,E0424,Respiratory,19,62,48818.93,24571.1,Home Health Agency,True,4
CMS-0000039,Q4-2025,CO,CO_City_3,92542,E0570,Respiratory,39,151,42346.06,550.78,Physician Office,False,4
CMS-0000040,Q4-2025,NY,Syracuse,63500,E0470,Sleep Therapy,21,9,24740.12,2055.27,Home Health Agency,False,1
CMS-0000041,Q4-2025,NM,NM_City_2,73030,E0570,Respiratory,2,187,1756.87,9452.87,DME Supplier,True,7
CMS-0000042,Q4-2025,TN,TN_City_1,74142,E0470,Sleep Therapy,33,5,44611.24,16861.63,Physician Office,True,6
CMS-0000043,Q4-2025,MD,MD_City_3,24433,E0570,Respiratory,13,120,12178.64,4962.14,Physician Office,True,7
CMS-0000044,Q4-2025,TX,Dallas,55051,E0570,Respiratory,18,188,11539.74,2917.33,Physician Office,True,6
CMS-0000045,Q4-2025,KS,KS_City_1,45911,E0424,Respiratory,22,90,33295.13,2826.68,Hospital Outpatient,True,7
CMS-0000046,Q4-2025,DE,DE_City_3,62453,E0465,Respiratory,35,140,41830.29,28191.18,Physician Office,False,5
CMS-0000047,Q4-2025,MD,MD_City_1,32132,E0601,Sleep Therapy,46,189,47613.41,10196.01,DME Supplier,False,5
CMS-0000048,Q4-2025,WA,WA_City_3,11179,E0601,Sleep Therapy,35,148,48287.08,40078.31,DME Supplier,False,8
CMS-0000049,Q4-2025,NE,NE_City_2,29307,E0431,Respiratory,39,197,33132.28,14658.12,DME Supplier,False,4
CMS-0000050,Q4-2025,CA,San Diego,94093,E0570,Respiratory,44,113,10865.31,18610.23,Physician Office,True,2
CMS-0000051,Q4-2025,CO,CO_City_3,63648,E0601,Sleep Therapy,11,143,848.57,16049.91,Home Health Agency,False,8
CMS-0000052,Q4-2025,MA,MA_City_1,79107,E0601,Sleep Therapy,48,141,24265.97,31659.91,Home Health Agency,False,7
CMS-0000053,Q4-2025,WV,WV_City_2,25180,E0433,Respiratory,8,75,39173.46,12669.37,DME Supplier,True,8
CMS-0000054,Q4-2025,OK,OK_City_1,24452,E0470,Sleep Therapy,15,86,25105.31,4625.09,Physician Office,True,4
CMS-0000055,Q4-2025,CO,CO_City_3,66131,E0424,Respiratory,16,27,49369.13,19956.96,Physician Office,False,1
CMS-0000056,Q4-2025,MD,MD_City_1,22946,E0433,Respiratory,1,114,9405.07,5302.35,DME Supplier,False,3
CMS-0000057,Q4-2025,ID,ID_City_1,35141,E0465,Respiratory,33,187,27339.4,33701.06,Home Health Agency,False,6
CMS-0000058,Q4-2025,ND,ND_City_3,83627,E0433,Respiratory,1,132,5396.16,11387.17,Hospital Outpatient,False,7
CMS-0000059,Q4-2025,TN,TN_City_2,43345,E0431,Respiratory,17,60,33155.48,14567.5,Home Health Agency,True,1
CMS-0000060,Q4-2025,CT,CT_City_3,81110,E0570,Respiratory,39,24,24428.9,1990.1,Hospital Outpatient,False,2
CMS-0000061,Q4-2025,PA,Erie,74618,E0470,Sleep Therapy,19,115,17469.58,34848.38,Hospital Outpatient,True,7
CMS-0000062,Q4-2025,AZ,AZ_City_3,48668,E0431,Respiratory,3,27,20054.14,16517.71,Physician Office,False,5
CMS-0000063,Q4-2025,OK,OK_City_3,44455,E0431,Respiratory,16,160,33577.67,25595.95,Hospital Outpatient,True,2
CMS-0000064,Q4-2025,GA,Savannah,17895,E0424,Respiratory,5,35,21672.16,29729.64,DME Supplier,True,6
CMS-0000065,Q4-2025,SC,SC_City_1,38096,E0570,Respiratory,47,165,18884.34,44108.97,Physician Office,False,3
CMS-0000066,Q4-2025,WY,WY_City_3,71681,E0424,Respiratory,39,182,39850.04,1717.32,DME Supplier,False,4
CMS-0000067,Q4-2025,SC,SC_City_2,45096,E0433,Respiratory,8,127,6827.98,41253.64,Home Health Agency,False,5
CMS-0000068,Q4-2025,IN,IN_City_2,38672,E0470,Sleep Therapy,7,148,15353.93,38804.59,DME Supplier,True,8
CMS-0000069,Q4-2025,IN,IN_City_2,61477,E0601,Sleep Therapy,2,106,36253.69,22367.6,DME Supplier,False,6
CMS-0000070,Q4-2025,MN,MN_City_3,50257,E0424,Respiratory,4,98,38673.73,3194.7,Hospital Outpatient,False,5
CMS-0000071,Q4-2025,KS,KS_City_2,53341,E0424,Respiratory,37,39,12665.45,1030.07,DME Supplier,False,1
CMS-0000072,Q4-2025,CA,San Diego,72007,E0601,Sleep Therapy,5,103,4479.56,4358.64,Home Health Agency,False,8
CMS-0000073,Q4-2025,KS,KS_City_1,84031,E0570,Respiratory,9,138,23013.4,3311.91,Physician Office,False,5
CMS-0000074,Q4-2025,AZ,AZ_City_1,49477,E0424,Respiratory,11,54,48896.06,17296.13,Home Health Agency,False,7
CMS-0000075,Q4-2025,WV,WV_City_1,76741,E0470,Sleep Therapy,25,54,42128.97,12956.11,Physician Office,False,2
CMS-0000076,Q4-2025,CO,CO_City_1,56171,E0465,Respiratory,22,194,6999.72,23064.56,Home Health Agency,False,7
CMS-0000077,Q4-2025,WI,WI_City_3,55060,E0433,Respiratory,34,63,39109.67,42878.36,Home Health Agency,False,4
CMS-0000078,Q4-2025,AR,AR_City_2,57888,E0570,Respiratory,38,175,44881.13,32689.66,DME Supplier,False,7
CMS-0000079,Q4-2025,IA,IA_City_2,65014,E0470,Sleep Therapy,4,42,796.96,18377.1,DME Supplier,False,6
CMS-0000080,Q4-2025,OR,OR_City_3,85116,E0424,Respiratory,5,51,22297.6,9895.66,Hospital Outpatient,False,7
CMS-0000081,Q4-2025,ID,ID_City_1,94889,E0431,Respiratory,44,92,19883.52,5552.92,DME Supplier,False,1
CMS-0000082,Q4-2025,MA,MA_City_3,78833,E0465,Respiratory,9,85,48171.72,15798.92,DME Supplier,False,3
CMS-0000083,Q4-2025,FL,Orlando,16429,E0570,Respiratory,49,75,15493.18,32520.83,Physician Office,False,4
CMS-0000084,Q4-2025,NE,NE_City_1,51303,E0465,Respiratory,36,78,20448.32,19869.92,Hospital Outpatient,True,8
CMS-0000085,Q4-2025,SD,SD_City_3,25304,E0601,Sleep Therapy,47,77,3163.54,36059.01,Home Health Agency,True,5
CMS-0000086,Q4-2025,WI,WI_City_2,62326,E0465,Respiratory,18,70,9095.26,28555.16,Physician Office,False,2
CMS-0000087,Q4-2025,KS,KS_City_2,88171,E0601,Sleep Therapy,26,101,12270.54,11832.68,Home Health Agency,False,2
CMS-0000088,Q4-2025,AZ,AZ_City_2,47044,E0601,Sleep Therapy,5,159,49815.29,37003.59,Physician Office,False,3
CMS-0000089,Q4-2025,IA,IA_City_1,76139,E0465,Respiratory,29,163,17110.33,12666.58,DME Supplier,False,7
CMS-0000090,Q4-2025,WV,WV_City_1,13036,E0465,Respiratory,23,51,41672.86,36655.93,Physician Office,True,5
CMS-0000091,Q4-2025,MT,MT_City_1,11093,E0424,Respiratory,4,124,22464.81,28085.09,Home Health Agency,False,8
CMS-0000092,Q4-2025,CO,CO_City_1,73568,E0433,Respiratory,4,143,7619.95,15563.2,DME Supplier,False,3
CMS-0000093,Q4-2025,PA,Erie,70536,E0470,Sleep Therapy,34,101,30038.8,43921.44,Physician Office,False,8
CMS-0000094,Q4-2025,MI,Warren,63631,E0431,Respiratory,6,177,8893.01,28237.55,Hospital Outpatient,True,3
CMS-0000095,Q4-2025,PA,Pittsburgh,33734,E0470,Sleep Therapy,44,153,8008.8,4491.87,Physician Office,True,8
CMS-0000096,Q4-2025,NJ,NJ_City_2,34165,E0431,Respiratory,2,176,40418.94,13557.17,Physician Office,False,1
CMS-0000097,Q4-2025,MT,MT_City_2,33381,E0601,Sleep Therapy,26,123,10514.67,43917.39,Hospital Outpatient,True,3
CMS-0000098,Q4-2025,ND,ND_City_1,46096,E0570,Respiratory,6,132,10893.06,17517.12,Physician Office,False,3
CMS-0000099,Q4-2025,ND,ND_City_3,83670,E0465,Respiratory,10,90,28334.66,28899.04,Physician Office,True,6
CMS-0000100,Q4-2025,VT,VT_City_1,61263,E0424,Respiratory,16,111,20133.43,36153.97,Hospital Outpatient,False,6
CMS-0000101,Q4-2025,NE,NE_City_3,72936,E0433,Respiratory,33,137,39974.46,21074.13,Hospital Outpatient,False,4
CMS-0000102,Q4-2025,MN,MN_City_3,62698,E0470,Sleep Therapy,17,106,35722.27,30496.73,Physician Office,True,2
CMS-0000103,Q4-2025,SD,SD_City_3,36098,E0601,Sleep Therapy,42,31,33638.1,28037.43,Physician Office,True,1
CMS-0000104,Q4-2025,WA,WA_City_2,79677,E0570,Respiratory,28,55,36000.29,11793.03,Home Health Agency,False,5
CMS-0000105,Q4-2025,WY,WY_City_2,31232,E0424,Respiratory,38,23,30972.51,34492.7,Hospital Outpatient,True,1
CMS-0000106,Q4-2025,MD,MD_City_1,10782,E0601,Sleep Therapy,27,179,45468.42,40179.5,Hospital Outpatient,False,5
CMS-0000107,Q4-2025,WA,WA_City_1,38369,E0433,Respiratory,7,15,22965.68,44608.68,Home Health Agency,False,8
CMS-0000108,Q4-2025,PA,Erie,57899,E0433,Respiratory,18,65,24323.46,10330.48,DME Supplier,False,3
CMS-0000109,Q4-2025,AR,AR_City_1,79890,E0433,Respiratory,19,67,49383.49,22637.61,Home Health Agency,True,6
CMS-0000110,Q4-2025,AZ,AZ_City_1,43621,E0570,Respiratory,21,154,4065.62,43815.78,Physician Office,False,7
CMS-0000111,Q4-2025,IL,Rockford,23771,E0465,Respiratory,8,74,18794.91,30860.82,DME Supplier,True,4
CMS-0000112,Q4-2025,RI,RI_City_3,98690,E0431,Respiratory,49,188,12072.06,10644.43,Hospital Outpatient,False,6
CMS-0000113,Q4-2025,KS,KS_City_1,21090,E0570,Respiratory,49,61,2835.58,22644.91,DME Supplier,True,5
CMS-0000114,Q4-2025,IL,Springfield,39046,E0433,Respiratory,8,182,23065.21,17669.86,DME Supplier,False,6
CMS-0000115,Q4-2025,ME,ME_City_1,95727,E0465,Respiratory,33,86,31674.11,1089.63,Physician Office,True,2
CMS-0000116,Q4-2025,MI,Detroit,71054,E0470,Sleep Therapy,17,36,992.93,36712.38,DME Supplier,False,2
CMS-0000117,Q4-2025,MT,MT_City_3,11268,E0424,Respiratory,39,82,49202.01,39917.05,DME Supplier,False,3
CMS-0000118,Q4-2025,OR,OR_City_2,66890,E0570,Respiratory,49,16,25949.81,28757.32,Home Health Agency,True,6
CMS-0000119,Q4-2025,ME,ME_City_1,65227,E0431,Respiratory,25,25,46971.33,11359.54,Physician Office,True,3
CMS-0000120,Q4-2025,AZ,AZ_City_1,64644,E0470,Sleep Therapy,13,182,25308.98,29273.99,Physician Office,True,6
CMS-0000121,Q4-2025,CT,CT_City_1,63890,E0470,Sleep Therapy,38,136,23001.07,43814.0,Home Health Agency,False,5
CMS-0000122,Q4-2025,LA,LA_City_1,54435,E0570,Respiratory,4,193,48465.18,39104.17,Home Health Agency,True,8
CMS-0000123,Q4-2025,VT,VT_City_2,47248,E0465,Respiratory,30,10,47494.09,44941.68,Hospital Outpatient,False,3
CMS-0000124,Q4-2025,OH,Columbus,89533,E0570,Respiratory,20,119,49720.13,33017.66,Hospital Outpatient,False,5
CMS-0000125,Q4-2025,WY,WY_City_2,15114,E0470,Sleep Therapy,36,47,25377.79,17981.37,Home Health Agency,False,3
CMS-0000126,Q4-2025,KS,KS_City_2,70655,E0433,Respiratory,17,49,2986.39,32688.24,Hospital Outpatient,True,1
CMS-0000127,Q4-2025,WI,WI_City_3,44295,E0465,Respiratory,14,110,1263.04,22155.7,Home Health Agency,True,7
CMS-0000128,Q4-2025,NC,Fayetteville,12340,E0431,Respiratory,35,51,15020.74,1027.16,Hospital Outpatient,True,5
CMS-0000129,Q4-2025,WA,WA_City_2,77336,E0465,Respiratory,8,112,43144.06,35063.99,Physician Office,True,6
CMS-0000130,Q4-2025,OH,Cleveland,26946,E0431,Respiratory,36,32,24174.19,22630.6,Home Health Agency,False,5
CMS-0000131,Q4-2025,OK,OK_City_1,85639,E0570,Respiratory,1,118,4975.39,3258.09,Physician Office,False,2
CMS-0000132,Q4-2025,MI,Lansing,94448,E0433,Respiratory,29,156,46450.59,11244.14,Hospital Outpatient,True,8
CMS-0000133,Q4-2025,VA,VA_City_3,45062,E0424,Respiratory,21,75,31919.92,29192.79,Home Health Agency,True,5
CMS-0000134,Q4-2025,WA,WA_City_2,40993,E0570,Respiratory,37,43,6832.19,16146.25,Hospital Outpatient,False,6
CMS-0000135,Q4-2025,NE,NE_City_2,17214,E0470,Sleep Therapy,11,148,19417.66,14780.64,DME Supplier,False,7
CMS-0000136,Q4-2025,KS,KS_City_3,68373,E0424,Respiratory,37,163,14724.69,42002.98,Physician Office,True,6
CMS-0000137,Q4-2025,NY,Syracuse,15184,E0433,Respiratory,20,81,24368.25,34185.04,Hospital Outpatient,True,2
CMS-0000138,Q4-2025,ME,ME_City_1,89459,E0431,Respiratory,42,178,2485.79,40471.91,Hospital Outpatient,True,4
CMS-0000139,Q4-2025,WA,WA_City_1,20125,E0465,Respiratory,20,137,6999.75,8592.66,Home Health Agency,False,1
CMS-0000140,Q4-2025,ID,ID_City_3,58458,E0470,Sleep Therapy,42,142,7901.59,2408.36,DME Supplier,True,3
CMS-0000141,Q4-2025,OK,OK_City_3,43830,E0470,Sleep Therapy,32,189,31227.54,19483.42,Physician Office,False,1
CMS-0000142,Q4-2025,WA,WA_City_1,96907,E0431,Respiratory,10,181,36461.52,4424.64,Home Health Agency,False,1
CMS-0000143,Q4-2025,GA,Athens,39251,E0465,Respiratory,9,115,19662.73,30634.11,Hospital Outpatient,False,2
CMS-0000144,Q4-2025,ID,ID_City_2,21544,E0470,Sleep Therapy,17,65,26489.41,20184.06,Home Health Agency,True,3
CMS-0000145,Q4-2025,MS,MS_City_2,96680,E0465,Respiratory,6,107,38006.3,11088.39,Home Health Agency,False,2
CMS-0000146,Q4-2025,MD,MD_City_2,33558,E0433,Respiratory,8,85,20750.01,33430.53,Physician Office,False,1
CMS-0000147,Q4-2025,LA,LA_City_3,30441,E0601,Sleep Therapy,34,126,4748.87,4847.35,Hospital Outpatient,False,6
CMS-0000148,Q4-2025,WA,WA_City_2,78758,E0470,Sleep Therapy,24,20,23734.19,24638.48,DME Supplier,False,6
CMS-0000149,Q4-2025,GA,Athens,45814,E0601,Sleep Therapy,15,165,21455.59,8925.59,Physician Office,False,6
CMS-0000150,Q4-2025,NH,NH_City_3,14416,E0465,Respiratory,13,32,47738.29,39606.0,Hospital Outpatient,False,5
CMS-0000151,Q4-2025,CT,CT_City_3,50904,E0424,Respiratory,44,26,23167.11,23393.28,Physician Office,False,1
CMS-0000152,Q4-2025,WY,WY_City_3,51070,E0431,Respiratory,11,197,16555.8,36717.87,Hospital Outpatient,False,2
CMS-0000153,Q4-2025,KS,KS_City_1,86590,E0470,Sleep Therapy,14,173,15843.46,34293.66,Physician Office,True,4
CMS-0000154,Q4-2025,RI,RI_City_3,95926,E0570,Respiratory,5,121,33480.43,33996.93,DME Supplier,True,5
CMS-0000155,Q4-2025,CA,Long Beach,83437,E0424,Respiratory,29,177,12228.06,8786.79,DME Supplier,True,4
CMS-0000156,Q4-2025,CT,CT_City_1,34913,E0465,Respiratory,37,44,36234.73,21703.21,Hospital Outpatient,True,8
CMS-0000157,Q4-2025,OR,OR_City_2,30471,E0433,Respiratory,42,124,29575.01,39370.13,DME Supplier,False,8
CMS-0000158,Q4-2025,CO,CO_City_2,89730,E0431,Respiratory,41,35,42560.12,33928.81,DME Supplier,True,1
CMS-0000159,Q4-2025,NH,NH_City_1,97539,E0433,Respiratory,15,199,43049.05,17897.33,Home Health Agency,False,3
CMS-0000160,Q4-2025,GA,Savannah,81949,E0465,Respiratory,1,145,36870.53,17092.96,Home Health Agency,True,1
CMS-0000161,Q4-2025,NY,New York,68562,E0424,Respiratory,19,4,19438.6,44987.15,Hospital Outpatient,True,8
CMS-0000162,Q4-2025,FL,Jacksonville,11212,E0433,Respiratory,11,93,24969.02,15477.54,DME Supplier,False,2
CMS-0000163,Q4-2025,OH,Cincinnati,15096,E0424,Respiratory,46,14,37571.22,4668.51,DME Supplier,True,3
CMS-0000164,Q4-2025,TX,Dallas,19029,E0431,Respiratory,41,127,39852.08,29544.19,Hospital Outpatient,False,5
CMS-0000165,Q4-2025,WI,WI_City_2,68234,E0431,Respiratory,34,94,7907.54,32079.35,Physician Office,False,6
CMS-0000166,Q4-2025,MS,MS_City_2,17538,E0601,Sleep Therapy,42,97,27759.42,43208.11,Physician Office,False,3
CMS-0000167,Q4-2025,MN,MN_City_1,75858,E0433,Respiratory,46,115,39963.68,5307.74,Hospital Outpatient,False,7
CMS-0000168,Q4-2025,WV,WV_City_2,48584,E0433,Respiratory,10,44,8917.35,28505.18,DME Supplier,False,8
CMS-0000169,Q4-2025,WA,WA_City_2,60705,E0431,Respiratory,19,126,877.26,522.71,Home Health Agency,False,4
CMS-0000170,Q4-2025,NY,New York,17817,E0433,Respiratory,29,61,31293.1,11617.35,DME Supplier,True,8
CMS-0000171,Q4-2025,CT,CT_City_1,46110,E0465,Respiratory,29,173,36186.35,30664.41,Hospital Outpatient,False,5
CMS-0000172,Q4-2025,WY,WY_City_2,47469,E0424,Respiratory,5,138,47438.08,39803.49,Home Health Agency,True,6
CMS-0000173,Q4-2025,MT,MT_City_1,96752,E0465,Respiratory,15,164,38744.04,15290.9,Physician Office,False,7
CMS-0000174,Q4-2025,NH,NH_City_3,28498,E0601,Sleep Therapy,15,108,2543.39,30897.02,DME Supplier,False,2
CMS-0000175,Q4-2025,PA,Pittsburgh,64184,E0465,Respiratory,11,71,3021.24,8538.19,Home Health Agency,False,4
CMS-0000176,Q4-2025,NJ,NJ_City_2,37743,E0465,Respiratory,26,99,17749.81,10830.01,DME Supplier,True,4
CMS-0000177,Q4-2025,MA,MA_City_2,42125,E0470,Sleep Therapy,10,144,11367.43,15169.91,Hospital Outpatient,False,3
CMS-0000178,Q4-2025,CA,Long Beach,46193,E0601,Sleep Therapy,17,164,45098.53,13088.74,Physician Office,True,5
CMS-0000179,Q4-2025,SC,SC_City_1,42498,E0424,Respiratory,47,158,18771.22,24780.37,DME Supplier,False,4
CMS-0000180,Q4-2025,NC,Fayetteville,66913,E0470,Sleep Therapy,48,100,26265.14,14634.1,Hospital Outpatient,True,1
CMS-0000181,Q4-2025,ME,ME_City_2,37731,E0433,Respiratory,19,170,39639.22,38039.4,Hospital Outpatient,False,4
CMS-0000182,Q4-2025,WV,WV_City_3,43384,E0601,Sleep Therapy,41,98,10824.15,31540.97,Hospital Outpatient,True,2
CMS-0000183,Q4-2025,VT,VT_City_2,57813,E0601,Sleep Therapy,22,144,1006.51,24307.88,Physician Office,False,1
CMS-0000184,Q4-2025,MN,MN_City_2,41132,E0601,Sleep Therapy,43,7,34164.69,21389.64,Home Health Agency,False,7
CMS-0000185,Q4-2025,OH,Cleveland,31954,E0433,Respiratory,44,128,42400.96,38730.98,Hospital Outpatient,False,3
CMS-0000186,Q4-2025,KY,KY_City_3,41057,E0433,Respiratory,1,198,5419.47,7500.25,Hospital Outpatient,False,8
CMS-0000187,Q4-2025,TX,San Antonio,46271,E0570,Respiratory,22,188,17083.39,9276.41,Home Health Agency,True,1
CMS-0000188,Q4-2025,MS,MS_City_3,69807,E0570,Respiratory,37,66,25388.82,4811.52,Physician Office,False,6
CMS-0000189,Q4-2025,CA,Long Beach,22050,E0433,Respiratory,32,92,10249.08,43117.94,Home Health Agency,True,1
CMS-0000190,Q4-2025,ME,ME_City_1,76217,E0433,Respiratory,31,129,40236.19,29962.76,Hospital Outpatient,False,5
CMS-0000191,Q4-2025,OH,Toledo,65437,E0601,Sleep Therapy,24,116,7457.47,41159.53,Physician Office,True,5
CMS-0000192,Q4-2025,CA,Long Beach,10897,E0424,Respiratory,15,187,12539.24,26992.93,Hospital Outpatient,True,7
CMS-0000193,Q4-2025,AL,AL_City_2,79673,E0570,Respiratory,26,56,10669.75,29433.12,Physician Office,True,1
CMS-0000194,Q4-2025,MA,MA_City_2,11950,E0470,Sleep Therapy,11,69,15274.37,20169.9,Hospital Outpatient,False,5
CMS-0000195,Q4-2025,CT,CT_City_3,99411,E0424,Respiratory,12,120,45501.93,16990.11,Physician Office,False,7
CMS-0000196,Q4-2025,MS,MS_City_3,51241,E0431,Respiratory,10,32,10377.65,38367.31,Physician Office,False,7
CMS-0000197,Q4-2025,AR,AR_City_3,32300,E0601,Sleep Therapy,31,9,24100.85,22443.75,DME Supplier,False,2
CMS-0000198,Q4-2025,NE,NE_City_3,30876,E0470,Sleep Therapy,13,47,1986.19,38784.45,DME Supplier,False,1
CMS-0000199,Q4-2025,AL,AL_City_2,50191,E0470,Sleep Therapy,43,164,30945.65,29984.14,Hospital Outpatient,True,7
CMS-0000200,Q4-2025,CA,Los Angeles,62531,E0470,Sleep Therapy,29,169,37010.69,813.96,Home Health Agency,False,3
CMS-0000201,Q4-2025,SD,SD_City_2,38249,E0470,Sleep Therapy,20,51,7526.38,32999.62,DME Supplier,False,5
CMS-0000202,Q4-2025,RI,RI_City_1,77850,E0570,Respiratory,5,147,924.12,2952.18,Physician Office,False,2
CMS-0000203,Q4-2025,OR,OR_City_2,55645,E0470,Sleep Therapy,38,189,34049.98,21754.4,Home Health Agency,False,2
CMS-0000204,Q4-2025,MS,MS_City_1,29112,E0470,Sleep Therapy,33,169,35916.81,34895.82,DME Supplier,False,4
CMS-0000205,Q4-2025,FL,Ft Lauderdale,42020,E0601,Sleep Therapy,14,172,48871.32,35493.39,Hospital Outpatient,False,3
CMS-0000206,Q4-2025,OK,OK_City_3,23544,E0601,Sleep Therapy,42,5,37807.37,21554.62,Physician Office,False,6
CMS-0000207,Q4-2025,AL,AL_City_3,13910,E0470,Sleep Therapy,30,145,25429.11,21721.41,Physician Office,False,5
CMS-0000208,Q4-2025,NH,NH_City_2,81242,E0433,Respiratory,49,119,16134.84,18719.95,Hospital Outpatient,False,1
CMS-0000209,Q4-2025,MS,MS_City_1,85190,E0470,Sleep Therapy,34,104,1471.43,23385.23,Hospital Outpatient,False,5
CMS-0000210,Q4-2025,GA,Athens,58971,E0424,Respiratory,23,43,30347.88,15365.34,Hospital Outpatient,False,6
CMS-0000211,Q4-2025,SD,SD_City_2,95550,E0433,Respiratory,7,197,9405.67,6830.97,Hospital Outpatient,False,4
CMS-0000212,Q4-2025,NH,NH_City_2,57616,E0601,Sleep Therapy,38,68,4530.66,37954.39,Hospital Outpatient,False,1
CMS-0000213,Q4-2025,NM,NM_City_3,99212,E0424,Respiratory,5,72,25861.56,31061.04,Hospital Outpatient,False,2
CMS-0000214,Q4-2025,VT,VT_City_3,57577,E0465,Respiratory,44,154,7645.87,11184.44,Hospital Outpatient,False,7
CMS-0000215,Q4-2025,OH,Dayton,26724,E0465,Respiratory,18,173,21089.36,6971.79,Physician Office,False,6
