appeal_id,denial_id,claim_id,location_id,payer_code,appeal_date,appeal_level,appeal_reason,supporting_docs,outcome,outcome_date,recovered_amount,appeal_specialist,turnaround_days,payer_response_notes
APP-00020,DEN-000040,CLM-0000261,LOC-0603,MEDICARE,2026-04-22,First Level,Additional documentation provided,CMN,UPHELD,2026-05-03,0,Lisa Miller,59,Still under review
APP-00021,DEN-000042,CLM-0000287,LOC-0029,MEDICARE,2026-03-05,First Level,Additional documentation provided,Medical Records,OVERTURNED,2026-04-30,323.77,Richard Anderson,13,Still under review
APP-00022,DEN-000043,CLM-0000288,LOC-0651,MEDICARE,2026-03-11,First Level,Timely filing exception,Medical Records,OVERTURNED,2026-05-10,1192.32,Linda Jones,59,Partial payment approved
APP-00023,DEN-000045,CLM-0000291,LOC-0293,MEDICARE,2026-02-23,First Level,Coding correction,CMN,UPHELD,2026-03-11,0,Nancy Hernandez,58,Denied - exhausted appeals
APP-00024,DEN-000048,CLM-0000301,LOC-0103,MEDICARE,2026-04-13,First Level,Additional documentation provided,CMN,OVERTURNED,2026-06-05,270.19,Sarah Taylor,45,Still under review
APP-00025,DEN-000049,CLM-0000305,LOC-0242,MEDICARE,2026-03-11,First Level,Coding correction,Sleep Study,OVERTURNED,2026-04-23,86.87,Richard Moore,31,Claim approved after review
APP-00026,DEN-000052,CLM-0000319,LOC-0575,MEDICARE,2026-02-13,Second Level,Additional documentation provided,CMN,UPHELD,2026-02-27,0,Karen Jackson,18,Partial payment approved
APP-00027,DEN-000053,CLM-0000325,LOC-0309,MEDICARE,2026-04-11,First Level,CMN submitted,Sleep Study,UPHELD,2026-05-19,0,Thomas Davis,18,Documentation sufficient
APP-00028,DEN-000055,CLM-0000331,LOC-0466,UHC,2026-04-09,First Level,Prior auth obtained retroactively,Prior Auth Letter,PENDING,,0,Jennifer Rodriguez,,Documentation sufficient
APP-00029,DEN-000056,CLM-0000333,LOC-0645,MEDICARE,2026-02-19,First Level,Additional documentation provided,CMN,PENDING,,0,Richard Brown,,Still under review
APP-00030,DEN-000057,CLM-0000344,LOC-0156,MEDICARE,2026-03-05,First Level,Medical necessity proven,Medical Records,OVERTURNED,2026-04-06,248.29,James Davis,20,Claim approved after review
APP-00031,DEN-000058,CLM-0000351,LOC-0176,MEDICAID,2026-04-21,Second Level,CMN submitted,PFT Results,PARTIAL,2026-05-31,134.68,Susan Anderson,53,Claim approved after review
APP-00032,DEN-000059,CLM-0000359,LOC-0406,MEDICARE,2026-02-03,Second Level,Prior auth obtained retroactively,Medical Records,OVERTURNED,2026-03-27,1165.47,William Hernandez,24,Partial payment approved
APP-00033,DEN-000061,CLM-0000364,LOC-0458,UHC,2026-02-05,Second Level,Medical necessity proven,Prescription,OVERTURNED,2026-03-15,52.82,Thomas Rodriguez,54,Claim approved after review
APP-00034,DEN-000062,CLM-0000373,LOC-0265,MEDICARE,2026-03-09,First Level,Timely filing exception,CMN,UPHELD,2026-04-15,0,Sarah Jackson,15,Documentation sufficient
APP-00035,DEN-000065,CLM-0000382,LOC-0076,AETNA,2026-04-06,First Level,CMN submitted,CMN,OVERTURNED,2026-04-19,90.71,Linda Taylor,38,Partial payment approved
APP-00036,DEN-000066,CLM-0000384,LOC-0117,UHC,2026-02-10,Second Level,Coding correction,CMN,OVERTURNED,2026-03-16,269.82,Karen Moore,13,Documentation sufficient
APP-00037,DEN-000067,CLM-0000387,LOC-0138,MEDICAID,2026-03-23,First Level,Additional documentation provided,Sleep Study,PENDING,,0,Lisa Gonzalez,,Denied - exhausted appeals
APP-00038,DEN-000070,CLM-0000399,LOC-0671,AETNA,2026-03-03,First Level,Timely filing exception,Sleep Study,OVERTURNED,2026-05-02,225.28,Richard Martin,57,Denied - exhausted appeals
APP-00039,DEN-000072,CLM-0000409,LOC-0134,MEDICARE,2026-04-23,First Level,Coding correction,CMN,UPHELD,2026-05-25,0,James Smith,53,Partial payment approved
APP-00040,DEN-000074,CLM-0000418,LOC-0604,MEDICARE,2026-02-17,First Level,Coding correction,CMN,UPHELD,2026-03-19,0,Karen Lopez,41,Claim approved after review
APP-00041,DEN-000075,CLM-0000429,LOC-0410,BCBS,2026-02-11,First Level,CMN submitted,PFT Results,OVERTURNED,2026-03-29,159.68,Lisa Thomas,29,Denied - exhausted appeals
APP-00042,DEN-000076,CLM-0000436,LOC-0638,MEDICAID,2026-02-08,First Level,Coding correction,Medical Records,OVERTURNED,2026-03-02,325.77,Margaret Martinez,34,Partial payment approved
APP-00043,DEN-000078,CLM-0000444,LOC-0005,MEDICARE,2026-02-28,First Level,CMN submitted,Prior Auth Letter,PENDING,,0,Linda Thomas,,Partial payment approved
APP-00044,DEN-000079,CLM-0000445,LOC-0300,MEDICARE,2026-02-01,Second Level,Timely filing exception,Prescription,UPHELD,2026-03-20,0,Margaret Taylor,49,Claim approved after review
APP-00045,DEN-000080,CLM-0000449,LOC-0688,UHC,2026-02-19,Second Level,Prior auth obtained retroactively,Medical Records,OVERTURNED,2026-03-30,2511.75,Lisa Anderson,21,Denied - exhausted appeals
APP-00046,DEN-000081,CLM-0000450,LOC-0028,MEDICARE,2026-04-07,First Level,Medical necessity proven,Prior Auth Letter,OVERTURNED,2026-05-29,179.12,Richard Anderson,18,Documentation sufficient
APP-00047,DEN-000083,CLM-0000456,LOC-0486,MEDICARE,2026-04-01,First Level,Prior auth obtained retroactively,PFT Results,OVERTURNED,2026-05-15,186.83,Thomas Williams,30,Documentation sufficient
APP-00048,DEN-000084,CLM-0000464,LOC-0465,AETNA,2026-04-22,Second Level,Medical necessity proven,Prescription,UPHELD,2026-05-30,0,Susan Martin,26,Denied - exhausted appeals
APP-00049,DEN-000085,CLM-0000470,LOC-0509,MEDICARE,2026-03-22,First Level,Coding correction,Prior Auth Letter,UPHELD,2026-04-09,0,Michael Johnson,45,Partial payment approved
APP-00050,DEN-000086,CLM-0000471,LOC-0101,MEDICAID,2026-03-13,First Level,Additional documentation provided,Sleep Study,PARTIAL,2026-04-27,346.32,William Anderson,54,Documentation sufficient
APP-00051,DEN-000088,CLM-0000483,LOC-0473,MEDICARE,2026-03-18,First Level,CMN submitted,PFT Results,OVERTURNED,2026-04-28,480.65,Robert Martin,52,Still under review
APP-00052,DEN-000089,CLM-0000486,LOC-0371,MEDICARE,2026-02-10,First Level,Coding correction,Prescription,OVERTURNED,2026-04-04,664.35,Jennifer Wilson,15,Partial payment approved
APP-00053,DEN-000092,CLM-0000505,LOC-0531,MEDICAID,2026-02-24,Second Level,Medical necessity proven,Prescription,OVERTURNED,2026-03-16,118.79,Elizabeth Jackson,34,Denied - exhausted appeals
APP-00054,DEN-000093,CLM-0000511,LOC-0436,MEDICARE,2026-02-05,First Level,Coding correction,Sleep Study,OVERTURNED,2026-02-21,4855.79,Elizabeth Martin,44,Partial payment approved
APP-00055,DEN-000095,CLM-0000523,LOC-0054,MEDICARE,2026-02-10,First Level,Coding correction,Prescription,OVERTURNED,2026-04-02,756.7,Linda Jackson,42,Partial payment approved
APP-00056,DEN-000096,CLM-0000524,LOC-0598,MEDICAID,2026-04-15,Second Level,Additional documentation provided,CMN,PENDING,,0,James Johnson,,Claim approved after review
APP-00057,DEN-000098,CLM-0000545,LOC-0472,MEDICARE,2026-02-10,External Review,Timely filing exception,CMN,OVERTURNED,2026-03-22,319.46,Thomas Jackson,45,Partial payment approved
APP-00058,DEN-000100,CLM-0000556,LOC-0323,MEDICAID,2026-04-13,Second Level,Additional documentation provided,Prescription,OVERTURNED,2026-06-02,29.97,Jennifer Thomas,36,Claim approved after review
APP-00059,DEN-000101,CLM-0000561,LOC-0079,BCBS,2026-04-12,First Level,CMN submitted,Prior Auth Letter,OVERTURNED,2026-04-24,1070.15,James Gonzalez,29,Documentation sufficient
APP-00060,DEN-000104,CLM-0000572,LOC-0448,MEDICARE,2026-03-10,First Level,Medical necessity proven,Prescription,UPHELD,2026-04-26,0,Richard Jones,53,Denied - exhausted appeals
APP-00061,DEN-000108,CLM-0000598,LOC-0028,MEDICAID,2026-03-13,First Level,Coding correction,CMN,PARTIAL,2026-05-08,1156.51,Joseph Garcia,43,Claim approved after review
APP-00062,DEN-000110,CLM-0000612,LOC-0637,MEDICARE,2026-03-06,First Level,Timely filing exception,CMN,OVERTURNED,2026-04-12,604.91,Maria Davis,36,Documentation sufficient
APP-00063,DEN-000111,CLM-0000614,LOC-0278,BCBS,2026-04-11,External Review,Coding correction,PFT Results,OVERTURNED,2026-04-28,621.31,Susan Gonzalez,35,Still under review
APP-00064,DEN-000112,CLM-0000624,LOC-0258,BCBS,2026-02-24,First Level,CMN submitted,Sleep Study,UPHELD,2026-03-31,0,Nancy Garcia,39,Documentation sufficient
APP-00065,DEN-000115,CLM-0000637,LOC-0606,MEDICAID,2026-02-08,First Level,Additional documentation provided,Prior Auth Letter,UPHELD,2026-03-17,0,Joseph Anderson,60,Denied - exhausted appeals
APP-00066,DEN-000116,CLM-0000643,LOC-0441,MEDICAID,2026-04-19,Second Level,Coding correction,PFT Results,OVERTURNED,2026-06-07,599.38,Karen Johnson,17,Denied - exhausted appeals
APP-00067,DEN-000120,CLM-0000669,LOC-0218,MEDICARE,2026-04-27,First Level,Coding correction,Prior Auth Letter,UPHELD,2026-06-07,0,David Hernandez,37,Still under review
APP-00068,DEN-000125,CLM-0000686,LOC-0292,MEDICARE,2026-03-22,Second Level,CMN submitted,Prescription,OVERTURNED,2026-04-17,644.86,William Smith,16,Claim approved after review
APP-00069,DEN-000127,CLM-0000702,LOC-0361,AETNA,2026-02-01,First Level,Coding correction,Prior Auth Letter,UPHELD,2026-02-23,0,Karen Brown,51,Denied - exhausted appeals
APP-00070,DEN-000128,CLM-0000708,LOC-0440,AETNA,2026-05-13,First Level,Timely filing exception,PFT Results,OVERTURNED,2026-07-09,849.43,James Taylor,29,Still under review
APP-00071,DEN-000130,CLM-0000719,LOC-0671,MEDICARE,2026-02-08,Second Level,Prior auth obtained retroactively,PFT Results,OVERTURNED,2026-02-21,1261.6,William Jackson,60,Claim approved after review
APP-00072,DEN-000132,CLM-0000727,LOC-0634,AETNA,2026-03-04,Second Level,Prior auth obtained retroactively,Medical Records,OVERTURNED,2026-04-26,147.1,Elizabeth Martinez,12,Documentation sufficient
APP-00073,DEN-000133,CLM-0000736,LOC-0452,MEDICARE,2026-03-08,First Level,Coding correction,PFT Results,UPHELD,2026-04-19,0,Sarah Garcia,21,Partial payment approved
APP-00074,DEN-000134,CLM-0000746,LOC-0512,MEDICARE,2026-02-22,First Level,Prior auth obtained retroactively,Prescription,UPHELD,2026-04-23,0,Joseph Miller,44,Claim approved after review
APP-00075,DEN-000136,CLM-0000748,LOC-0241,MEDICAID,2026-04-12,Second Level,Timely filing exception,PFT Results,UPHELD,2026-05-01,0,William Hernandez,20,Denied - exhausted appeals
APP-00076,DEN-000137,CLM-0000758,LOC-0608,BCBS,2026-05-07,First Level,Timely filing exception,Prior Auth Letter,PENDING,,0,Richard Martin,,Partial payment approved
APP-00077,DEN-000138,CLM-0000763,LOC-0215,MEDICARE,2026-04-15,First Level,Timely filing exception,Prescription,UPHELD,2026-05-16,0,Robert Thomas,43,Still under review
APP-00078,DEN-000139,CLM-0000765,LOC-0658,MEDICARE,2026-03-23,First Level,Prior auth obtained retroactively,Medical Records,PENDING,,0,Lisa Moore,,Still under review
APP-00079,DEN-000142,CLM-0000774,LOC-0140,MEDICARE,2026-03-28,First Level,CMN submitted,Prior Auth Letter,OVERTURNED,2026-04-21,541.7,Lisa Martinez,18,Claim approved after review
APP-00080,DEN-000143,CLM-0000780,LOC-0083,MEDICARE,2026-04-15,First Level,Timely filing exception,Prior Auth Letter,UPHELD,2026-06-09,0,James Jones,43,Documentation sufficient
APP-00081,DEN-000144,CLM-0000784,LOC-0250,MEDICARE,2026-02-13,First Level,Additional documentation provided,Prescription,UPHELD,2026-03-04,0,David Gonzalez,29,Denied - exhausted appeals
APP-00082,DEN-000146,CLM-0000790,LOC-0054,AETNA,2026-02-12,First Level,Medical necessity proven,CMN,UPHELD,2026-03-04,0,Linda Moore,17,Partial payment approved
APP-00083,DEN-000147,CLM-0000795,LOC-0666,UHC,2026-04-29,External Review,Medical necessity proven,Prescription,PENDING,,0,James Davis,,Documentation sufficient
APP-00084,DEN-000148,CLM-0000804,LOC-0239,MEDICARE,2026-04-03,First Level,CMN submitted,Prescription,UPHELD,2026-05-06,0,David Jackson,14,Denied - exhausted appeals
APP-00085,DEN-000149,CLM-0000806,LOC-0550,BCBS,2026-02-18,First Level,Timely filing exception,Sleep Study,PENDING,,0,Thomas Wilson,,Still under review
APP-00086,DEN-000154,CLM-0000817,LOC-0274,MEDICARE,2026-01-10,First Level,Coding correction,CMN,UPHELD,2026-01-28,0,Richard Lopez,56,Claim approved after review
APP-00087,DEN-000155,CLM-0000820,LOC-0270,MEDICAID,2026-02-27,First Level,CMN submitted,Sleep Study,OVERTURNED,2026-04-24,277.31,Lisa Johnson,19,Claim approved after review
APP-00088,DEN-000157,CLM-0000843,LOC-0121,BCBS,2026-02-26,First Level,Timely filing exception,Medical Records,UPHELD,2026-03-23,0,Susan Rodriguez,26,Documentation sufficient
APP-00089,DEN-000159,CLM-0000858,LOC-0387,MEDICAID,2026-02-18,First Level,Coding correction,PFT Results,UPHELD,2026-04-09,0,William Wilson,27,Claim approved after review
APP-00090,DEN-000160,CLM-0000861,LOC-0031,MEDICARE,2026-03-15,External Review,Additional documentation provided,Prescription,PENDING,,0,Richard Hernandez,,Documentation sufficient
APP-00091,DEN-000161,CLM-0000867,LOC-0014,MEDICAID,2026-04-16,First Level,CMN submitted,CMN,OVERTURNED,2026-06-12,70.69,Richard Rodriguez,26,Documentation sufficient
APP-00092,DEN-000162,CLM-0000871,LOC-0020,BCBS,2026-03-11,Second Level,Prior auth obtained retroactively,CMN,UPHELD,2026-03-30,0,Joseph Jones,17,Still under review
APP-00093,DEN-000163,CLM-0000881,LOC-0181,MEDICAID,2026-03-18,Second Level,Prior auth obtained retroactively,Prescription,OVERTURNED,2026-05-10,361.79,Nancy Wilson,60,Still under review
APP-00094,DEN-000164,CLM-0000892,LOC-0401,MEDICAID,2026-03-07,First Level,Timely filing exception,Sleep Study,OVERTURNED,2026-04-26,924.8,Richard Williams,56,Denied - exhausted appeals
APP-00095,DEN-000165,CLM-0000898,LOC-0220,MEDICARE,2026-03-18,Second Level,Medical necessity proven,Medical Records,OVERTURNED,2026-05-10,554.59,Thomas Taylor,40,Partial payment approved
APP-00096,DEN-000169,CLM-0000941,LOC-0438,BCBS,2026-03-07,First Level,Medical necessity proven,Medical Records,UPHELD,2026-05-06,0,Linda Anderson,18,Documentation sufficient
APP-00097,DEN-000170,CLM-0000943,LOC-0373,AETNA,2026-03-27,First Level,CMN submitted,Prior Auth Letter,OVERTURNED,2026-04-29,822.39,Jennifer Moore,14,Denied - exhausted appeals
APP-00098,DEN-000173,CLM-0000954,LOC-0563,MEDICAID,2026-03-15,First Level,Additional documentation provided,CMN,PARTIAL,2026-04-25,219.57,Susan Davis,44,Denied - exhausted appeals
APP-00099,DEN-000174,CLM-0000959,LOC-0463,MEDICARE,2026-02-19,First Level,Coding correction,Prior Auth Letter,OVERTURNED,2026-03-03,131.53,Elizabeth Jackson,25,Denied - exhausted appeals
APP-00100,DEN-000175,CLM-0000973,LOC-0199,MEDICAID,2026-05-12,First Level,CMN submitted,PFT Results,OVERTURNED,2026-05-23,6507.28,Lisa Johnson,13,Still under review
APP-00101,DEN-000176,CLM-0000976,LOC-0172,MEDICARE,2026-04-03,First Level,CMN submitted,PFT Results,UPHELD,2026-05-27,0,Thomas Thomas,18,Documentation sufficient
APP-00102,DEN-000179,CLM-0000993,LOC-0041,AETNA,2026-04-25,First Level,Coding correction,Prescription,UPHELD,2026-06-09,0,Nancy Garcia,30,Still under review
APP-00103,DEN-000181,CLM-0001009,LOC-0129,UHC,2026-04-16,First Level,CMN submitted,Prescription,OVERTURNED,2026-05-05,508.44,Robert Lopez,50,Partial payment approved
APP-00104,DEN-000183,CLM-0001019,LOC-0384,MEDICARE,2026-03-16,First Level,Additional documentation provided,PFT Results,UPHELD,2026-05-09,0,Lisa Martin,59,Still under review
APP-00105,DEN-000184,CLM-0001020,LOC-0308,BCBS,2026-03-23,Second Level,Coding correction,CMN,UPHELD,2026-05-04,0,Maria Brown,12,Claim approved after review
APP-00106,DEN-000186,CLM-0001028,LOC-0163,MEDICARE,2026-02-27,First Level,Coding correction,Prior Auth Letter,PARTIAL,2026-04-16,171.65,Jennifer Brown,41,Still under review
APP-00107,DEN-000188,CLM-0001034,LOC-0383,MEDICAID,2026-03-05,Second Level,Medical necessity proven,Sleep Study,UPHELD,2026-04-12,0,Elizabeth Lopez,12,Denied - exhausted appeals
APP-00108,DEN-000190,CLM-0001038,LOC-0320,UHC,2026-03-13,First Level,Prior auth obtained retroactively,PFT Results,OVERTURNED,2026-05-02,175.23,Michael Jackson,42,Claim approved after review
APP-00109,DEN-000192,CLM-0001045,LOC-0488,AETNA,2026-03-13,First Level,Additional documentation provided,CMN,UPHELD,2026-04-16,0,Elizabeth Martin,58,Claim approved after review
APP-00110,DEN-000195,CLM-0001053,LOC-0470,MEDICARE,2026-04-25,Second Level,Medical necessity proven,CMN,OVERTURNED,2026-05-21,978.74,Lisa Wilson,46,Documentation sufficient
APP-00111,DEN-000196,CLM-0001054,LOC-0495,MEDICAID,2026-02-16,First Level,CMN submitted,Medical Records,PENDING,,0,Sarah Williams,,Claim approved after review
APP-00112,DEN-000201,CLM-0001085,LOC-0678,MEDICARE,2026-02-28,First Level,Prior auth obtained retroactively,Sleep Study,UPHELD,2026-04-09,0,Elizabeth Martin,21,Partial payment approved
APP-00113,DEN-000204,CLM-0001100,LOC-0087,MEDICARE,2026-03-20,Second Level,Timely filing exception,Sleep Study,OVERTURNED,2026-04-07,950.35,Richard Jones,37,Documentation sufficient
APP-00114,DEN-000206,CLM-0001102,LOC-0152,MEDICARE,2026-03-11,First Level,CMN submitted,CMN,OVERTURNED,2026-04-29,1553.07,Linda Gonzalez,32,Still under review
APP-00115,DEN-000207,CLM-0001105,LOC-0657,UHC,2026-02-15,First Level,Medical necessity proven,CMN,UPHELD,2026-03-06,0,Nancy Jones,47,Partial payment approved
APP-00116,DEN-000208,CLM-0001108,LOC-0308,MEDICARE,2026-02-20,First Level,Medical necessity proven,Sleep Study,PARTIAL,2026-03-23,1530.6,David Anderson,40,Still under review
APP-00117,DEN-000210,CLM-0001110,LOC-0407,MEDICARE,2026-03-18,First Level,Timely filing exception,CMN,OVERTURNED,2026-03-31,347.04,James Wilson,24,Documentation sufficient
APP-00118,DEN-000212,CLM-0001134,LOC-0358,MEDICARE,2026-02-28,Second Level,Timely filing exception,Medical Records,UPHELD,2026-03-17,0,Nancy Smith,43,Documentation sufficient
APP-00119,DEN-000213,CLM-0001137,LOC-0284,UHC,2026-04-01,Second Level,Coding correction,Prescription,UPHELD,2026-04-22,0,Robert Rodriguez,46,Partial payment approved
APP-00120,DEN-000214,CLM-0001150,LOC-0170,BCBS,2026-03-22,First Level,Additional documentation provided,Prior Auth Letter,UPHELD,2026-04-25,0,Joseph Martinez,57,Claim approved after review
APP-00121,DEN-000215,CLM-0001153,LOC-0498,MEDICAID,2026-02-26,First Level,Additional documentation provided,Prior Auth Letter,PENDING,,0,David Jackson,,Documentation sufficient
APP-00122,DEN-000218,CLM-0001169,LOC-0307,MEDICARE,2026-03-08,Second Level,Timely filing exception,CMN,OVERTURNED,2026-04-05,155.85,Sarah Gonzalez,48,Still under review
APP-00123,DEN-000219,CLM-0001171,LOC-0398,MEDICARE,2026-01-21,First Level,CMN submitted,Prior Auth Letter,OVERTURNED,2026-03-02,72.85,Robert Rodriguez,44,Partial payment approved
APP-00124,DEN-000221,CLM-0001196,LOC-0013,MEDICARE,2026-04-28,External Review,Additional documentation provided,Sleep Study,UPHELD,2026-06-02,0,Jennifer Taylor,31,Documentation sufficient
APP-00125,DEN-000222,CLM-0001197,LOC-0647,MEDICAID,2026-01-24,First Level,Medical necessity proven,Prescription,OVERTURNED,2026-02-21,3693.5,Joseph Wilson,33,Claim approved after review
APP-00126,DEN-000226,CLM-0001212,LOC-0308,MEDICARE,2026-04-05,First Level,Coding correction,Prescription,UPHELD,2026-04-26,0,Linda Martin,37,Denied - exhausted appeals
APP-00127,DEN-000231,CLM-0001233,LOC-0425,MEDICARE,2026-02-12,First Level,CMN submitted,Prescription,UPHELD,2026-02-23,0,James Brown,47,Partial payment approved
APP-00128,DEN-000232,CLM-0001236,LOC-0146,MEDICARE,2026-02-13,First Level,CMN submitted,Prior Auth Letter,OVERTURNED,2026-04-13,392.96,Joseph Jones,21,Documentation sufficient
APP-00129,DEN-000233,CLM-0001237,LOC-0452,MEDICARE,2026-04-17,Second Level,Medical necessity proven,CMN,UPHELD,2026-05-06,0,Richard Miller,54,Claim approved after review
APP-00130,DEN-000234,CLM-0001246,LOC-0282,MEDICARE,2026-02-23,First Level,CMN submitted,Prescription,OVERTURNED,2026-04-15,184.88,James Gonzalez,45,Claim approved after review
APP-00131,DEN-000235,CLM-0001251,LOC-0169,MEDICAID,2026-02-06,Second Level,Coding correction,PFT Results,OVERTURNED,2026-03-04,84.98,James Smith,49,Documentation sufficient
APP-00132,DEN-000237,CLM-0001263,LOC-0212,BCBS,2026-04-23,First Level,Additional documentation provided,Medical Records,PENDING,,0,Maria Smith,,Partial payment approved
APP-00133,DEN-000238,CLM-0001267,LOC-0363,UHC,2026-04-06,First Level,Prior auth obtained retroactively,Medical Records,UPHELD,2026-05-28,0,Richard Davis,24,Still under review
APP-00134,DEN-000239,CLM-0001292,LOC-0452,UHC,2026-04-08,First Level,Timely filing exception,CMN,PARTIAL,2026-05-02,511.58,Susan Jackson,32,Documentation sufficient
APP-00135,DEN-000240,CLM-0001298,LOC-0087,AETNA,2026-05-02,Second Level,CMN submitted,Prescription,OVERTURNED,2026-06-04,474.04,Margaret Martin,19,Claim approved after review
APP-00136,DEN-000241,CLM-0001299,LOC-0576,MEDICARE,2026-04-09,Second Level,Medical necessity proven,Medical Records,UPHELD,2026-04-29,0,Nancy Johnson,52,Documentation sufficient
APP-00137,DEN-000242,CLM-0001308,LOC-0636,MEDICARE,2026-05-13,First Level,CMN submitted,Sleep Study,OVERTURNED,2026-06-02,161.46,Michael Lopez,58,Claim approved after review
APP-00138,DEN-000243,CLM-0001316,LOC-0628,MEDICAID,2026-04-08,First Level,Additional documentation provided,PFT Results,UPHELD,2026-05-08,0,David Johnson,44,Denied - exhausted appeals
APP-00139,DEN-000245,CLM-0001329,LOC-0449,MEDICARE,2026-03-17,Second Level,Additional documentation provided,Sleep Study,OVERTURNED,2026-04-01,286.57,Margaret Smith,23,Claim approved after review
APP-00140,DEN-000246,CLM-0001330,LOC-0699,UHC,2026-02-14,Second Level,Coding correction,Prior Auth Letter,PENDING,,0,Sarah Brown,,Denied - exhausted appeals
APP-00141,DEN-000248,CLM-0001335,LOC-0481,MEDICARE,2026-02-26,Second Level,Medical necessity proven,CMN,OVERTURNED,2026-03-17,164.53,Joseph Williams,44,Denied - exhausted appeals
APP-00142,DEN-000250,CLM-0001349,LOC-0633,MEDICAID,2026-01-26,Second Level,Medical necessity proven,Medical Records,UPHELD,2026-03-01,0,Robert Hernandez,28,Still under review
APP-00143,DEN-000251,CLM-0001350,LOC-0279,MEDICARE,2026-03-11,First Level,Medical necessity proven,Prescription,OVERTURNED,2026-04-01,3444.15,Susan Taylor,26,Denied - exhausted appeals
APP-00144,DEN-000253,CLM-0001376,LOC-0362,UHC,2026-03-01,External Review,CMN submitted,Prior Auth Letter,OVERTURNED,2026-04-06,160.67,Jennifer Johnson,23,Claim approved after review
APP-00145,DEN-000254,CLM-0001381,LOC-0392,BCBS,2026-02-22,First Level,Coding correction,Prescription,UPHELD,2026-04-18,0,Margaret Brown,12,Documentation sufficient
APP-00146,DEN-000255,CLM-0001383,LOC-0567,MEDICARE,2026-02-14,First Level,Additional documentation provided,Sleep Study,UPHELD,2026-02-26,0,James Anderson,10,Claim approved after review
